code,direction,id,lat,locationType,lon,name,routeIds,wheelchairBoarding,route
103934,SW,MTA_103934,40.880279,0,-73.884125,JEROME AV/EAST MOSHOLU PKWY NORTH,"['MTA NYCT_BX10', 'MTA NYCT_D90']",UNKNOWN,D90
902204,N,MTA_902204,40.874807,0,-73.879337,BAINBRIDGE AV/E 206 ST,['MTA NYCT_D90'],UNKNOWN,D90
902205,SW,MTA_902205,40.880095,0,-73.884308,JEROME AV/MOSHOLU PKWY NORTH,['MTA NYCT_D90'],UNKNOWN,D90
902206,N,MTA_902206,40.874102,0,-73.879258,BAINBRIDGE AV/E 206 ST,['MTA NYCT_D90'],UNKNOWN,D90
302368,SE,MTA_302368,40.687146,0,-73.97669,FULTON ST/LAFAYETTE AV,"['MTA NYCT_B25', 'MTA NYCT_B26', 'MTA NYCT_B52']",UNKNOWN,B52
302369,E,MTA_302369,40.686059,0,-73.974034,FULTON ST/SOUTH PORTLAND AV,"['MTA NYCT_B25', 'MTA NYCT_B26', 'MTA NYCT_B52']",UNKNOWN,B52
302427,W,MTA_302427,40.686724,0,-73.975391,FULTON ST/SOUTH ELLIOT PL,"['MTA NYCT_B25', 'MTA NYCT_B26', 'MTA NYCT_B52']",UNKNOWN,B52
302428,W,MTA_302428,40.68738,0,-73.977028,FULTON ST/FORT GREENE PL,"['MTA NYCT_B25', 'MTA NYCT_B26', 'MTA NYCT_B52']",UNKNOWN,B52
302430,W,MTA_302430,40.688635,0,-73.980164,FULTON ST/HUDSON AV,"['MTA NYCT_B25', 'MTA NYCT_B26', 'MTA NYCT_B52']",UNKNOWN,B52
302431,W,MTA_302431,40.689671,0,-73.982815,FULTON ST/BOND ST,"['MTA NYCT_B25', 'MTA NYCT_B26', 'MTA NYCT_B52']",UNKNOWN,B52
302433,W,MTA_302433,40.691398,0,-73.987134,FULTON ST/JAY ST,"['MTA NYCT_B25', 'MTA NYCT_B26', 'MTA NYCT_B38', 'MTA NYCT_B52']",UNKNOWN,B52
302434,NE,MTA_302434,40.693227,0,-73.990683,JORALEMON ST/COURT ST,"['MTA NYCT_B26', 'MTA NYCT_B38', 'MTA NYCT_B41', 'MTA NYCT_B45', 'MTA NYCT_B52']",UNKNOWN,B52
302945,E,MTA_302945,40.69148,0,-73.987534,FULTON ST/SMITH ST,"['MTA NYCT_B25', 'MTA NYCT_B38', 'MTA NYCT_B52']",UNKNOWN,B52
302947,SE,MTA_302947,40.689709,0,-73.983099,FULTON ST/BOND ST,"['MTA NYCT_B25', 'MTA NYCT_B26', 'MTA NYCT_B38', 'MTA NYCT_B52']",UNKNOWN,B52
303017,E,MTA_303017,40.688106,0,-73.979087,FULTON ST/ROCKWELL PL,['MTA NYCT_B52'],UNKNOWN,B52
304196,SW,MTA_304196,40.698169,0,-73.9136,GATES AV/IRVING AV,['MTA NYCT_B52'],UNKNOWN,B52
304197,SW,MTA_304197,40.696571,0,-73.915192,GATES AV/KNICKERBOCKER AV,['MTA NYCT_B52'],UNKNOWN,B52
304198,SW,MTA_304198,40.695173,0,-73.916567,GATES AV/WILSON AV,['MTA NYCT_B52'],UNKNOWN,B52
304199,SW,MTA_304199,40.693667,0,-73.918051,GATES AV/CENTRAL AV,['MTA NYCT_B52'],UNKNOWN,B52
304200,SW,MTA_304200,40.69192,0,-73.919766,GATES AV/EVERGREEN AV,['MTA NYCT_B52'],UNKNOWN,B52
304201,SW,MTA_304201,40.690696,0,-73.920979,GATES AV/BUSHWICK AV,['MTA NYCT_B52'],UNKNOWN,B52
304203,W,MTA_304203,40.689263,0,-73.924414,GATES AV/RALPH AV,['MTA NYCT_B52'],UNKNOWN,B52
304204,W,MTA_304204,40.688886,0,-73.92766,GATES AV/PATCHEN AV,['MTA NYCT_B52'],UNKNOWN,B52
304205,W,MTA_304205,40.68853,0,-73.930617,GATES AV/MALCOLM X BLVD,['MTA NYCT_B52'],UNKNOWN,B52
304206,W,MTA_304206,40.688206,0,-73.933536,GATES AV/STUYVESANT AV,['MTA NYCT_B52'],UNKNOWN,B52
304207,W,MTA_304207,40.687934,0,-73.935916,GATES AV/LEWIS AV,['MTA NYCT_B52'],UNKNOWN,B52
304209,W,MTA_304209,40.687251,0,-73.941654,GATES AV/THROOP AV,['MTA NYCT_B52'],UNKNOWN,B52
304210,W,MTA_304210,40.686884,0,-73.945016,GATES AV/TOMPKINS AV,['MTA NYCT_B52'],UNKNOWN,B52
304211,W,MTA_304211,40.686541,0,-73.94787,GATES AV/MARCY AV,['MTA NYCT_B52'],UNKNOWN,B52
304212,W,MTA_304212,40.686164,0,-73.951161,GATES AV/NOSTRAND AV,['MTA NYCT_B52'],UNKNOWN,B52
304213,W,MTA_304213,40.685761,0,-73.954837,GATES AV/BEDFORD AV,['MTA NYCT_B52'],UNKNOWN,B52
304214,W,MTA_304214,40.685515,0,-73.956944,GATES AV/FRANKLIN AV,['MTA NYCT_B52'],UNKNOWN,B52
304415,NE,MTA_304415,40.6982,0,-73.912261,PALMETTO ST/IRVING AV,['MTA NYCT_B52'],UNKNOWN,B52
306530,W,MTA_306530,40.687516,0,-73.939383,GATES AV/MARCUS GARVEY BLVD,['MTA NYCT_B52'],UNKNOWN,B52
307175,N,MTA_307175,40.695988,0,-73.991009,CADMAN PLAZA WEST/TILLARY ST,"['MTA NYCT_B26', 'MTA NYCT_B52', 'MTABC_B103']",UNKNOWN,B52
307460,S,MTA_307460,40.69256,0,-73.989131,ADAMS ST/BROOKLYN SUPREME COURT,"['MTA NYCT_B25', 'MTA NYCT_B38', 'MTA NYCT_B41', 'MTA NYCT_B52']",UNKNOWN,B52
307491,E,MTA_307491,40.69069,0,-73.985547,FULTON ST/HOYT ST,"['MTA NYCT_B25', 'MTA NYCT_B26', 'MTA NYCT_B38', 'MTA NYCT_B52']",UNKNOWN,B52
307492,NW,MTA_307492,40.690536,0,-73.984949,FULTON ST/DUFFIELD ST,"['MTA NYCT_B25', 'MTA NYCT_B26', 'MTA NYCT_B38', 'MTA NYCT_B52']",UNKNOWN,B52
307547,E,MTA_307547,40.685878,0,-73.97255,GREENE AV/FULTON ST,['MTA NYCT_B52'],UNKNOWN,B52
307548,E,MTA_307548,40.686169,0,-73.970051,GREENE AV/ADELPHI ST,['MTA NYCT_B52'],UNKNOWN,B52
307549,E,MTA_307549,40.686401,0,-73.968035,GREENE AV/VANDERBILT AV,['MTA NYCT_B52'],UNKNOWN,B52
307550,E,MTA_307550,40.686738,0,-73.965107,GREENE AV/WASHINGTON AV,['MTA NYCT_B52'],UNKNOWN,B52
307551,E,MTA_307551,40.687089,0,-73.962078,GREENE AV/GRAND AV,['MTA NYCT_B52'],UNKNOWN,B52
307552,E,MTA_307552,40.687412,0,-73.95928,GREENE AV/CLASSON AV,['MTA NYCT_B52'],UNKNOWN,B52
307553,S,MTA_307553,40.687399,0,-73.956963,FRANKLIN AV/GREENE AV,"['MTA NYCT_B48', 'MTA NYCT_B52']",UNKNOWN,B52
307572,W,MTA_307572,40.687391,0,-73.960122,GREENE AV/CLASSON AV,['MTA NYCT_B52'],UNKNOWN,B52
307573,W,MTA_307573,40.687092,0,-73.962958,GREENE AV/GRAND AV,['MTA NYCT_B52'],UNKNOWN,B52
307575,W,MTA_307575,40.686366,0,-73.968929,GREENE AV/VANDERBILT AV,['MTA NYCT_B52'],UNKNOWN,B52
